drg_segment,total_passengers_2022,total_passengers_2015,wifi_service,city_attraction_area,city_category_in_attraction_area_2020,department,region,sum_municipal_population_2021,non_scholarized_15_years_old_or_more_2020,main_residences_2020,housing_2020,jobs_at_workplace_2020,hotels_2024_sum,camping_sites_2024_sum,other_tourist_accommodations_2024_sum,latitude,longitude,passenger_growth_rate,attraction_density,city_size_category,Dubious,total_non_passengers_2022,total_non_passengers_2015,non_passenger_growth_rate,distance_to_paris,population_category,high_population
C,96193.0,45716.0,0,040,20,84,93,339324,249199,151855,176154,132731,93,22,13,44.0374619,4.9947813,1.1041429696386384,0.0003772205915290401,Large,Yes,24049.0,11430.0,1.1040244969378827,574.2926475314073,"(300000, 600000]",High
B,252235.0,218389.0,0,033,20,57,44,375059,275543,169558,188088,162072,54,5,5,49.0140249,6.3950968,0.15498033325854324,0.00017063981933509127,Large,No,63059.0,54598.0,0.15496904648521923,297.0786560838489,"(300000, 600000]",High
C,25360.0,8258.0,0,653,11,27,28,4219,3214,1946,2309,1845,0,1,0,49.1964187,0.7115304,2.0709614918866555,0.00023702299123014932,Tiny,Yes,0.0,0.0,0.0,123.78827538794907,"(0, 300000]",Low
C,80459.0,51823.0,0,005,20,82,76,1490640,1036295,684922,760724,668535,169,26,54,43.9241555,1.264501,0.5525731817918684,0.0001670423442279826,Huge,Yes,0.0,0.0,0.0,555.6448300810862,"(1200000, 1500000]",High
C,11236.0,30629.0,0,296,12,29,53,23026,18257,11053,15768,10232,18,9,2,48.7207491,-3.9833434,-0.6331581181233471,0.0012594458438287153,Small,No,0.0,0.0,0.0,462.8610596001553,"(0, 300000]",Low
C,85385.0,110115.0,0,000,30,42,84,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,45.817858,4.187443,-0.22458339009217637,0.0013664948686700343,Tiny,No,21346.0,27528.0,-0.22457134553908747,366.63914191223427,"(4200000, 4500000]",High
C,41839.0,9544.0,0,014,20,38,84,722904,509389,327884,386478,314066,122,48,27,45.0476532,5.6854542,3.383801341156748,0.00027251197946061994,Large,Yes,0.0,0.0,0.0,494.9146802173393,"(600000, 900000]",High
B,541375.0,433512.0,0,175,11,47,75,50446,39365,23463,26907,19317,6,3,0,44.503019,0.168044,0.2488120282714204,0.00017840859532965945,Medium,Yes,135344.0,108378.0,0.24881433501264094,512.4996423731506,"(0, 300000]",Low
C,72299.0,113417.0,0,023,20,42,84,500562,359465,223886,257625,192815,46,10,5,45.565928,4.293438,-0.36253824382588146,0.00012186302595882229,Large,No,0.0,0.0,0.0,395.72141389714363,"(300000, 600000]",High
B,2450701.0,2082592.0,0,002,20,69,84,2308818,1598413,1010763,1122933,1056227,329,39,45,45.9845,4.72077,0.1767552165762665,0.0001788794092908146,Huge,Yes,334187.0,283990.0,0.17675622381069755,367.33209761774555,"(2100000, 2400000]",High
A,2019329.0,1322859.0,1,057,11,56,53,207414,153232,95046,112282,82467,44,36,8,47.665169,-2.75245,0.526488461733261,0.0004242722284898801,Large,Yes,504833.0,330715.0,0.5264895756164674,399.35617565572795,"(0, 300000]",Low
C,21115.0,10526.0,0,025,20,45,24,456452,325301,200690,226493,194138,84,13,7,47.8770705,1.782422,1.0059851795553867,0.0002278443297433246,Large,Yes,0.0,0.0,0.0,117.32072031542434,"(300000, 600000]",High
C,30849.0,38789.0,0,029,20,68,44,408968,304955,179702,202903,153319,71,13,8,47.8425494,7.0693196,-0.2046972079713321,0.0002249564758122885,Large,No,0.0,0.0,0.0,367.9352406541921,"(300000, 600000]",High
C,64374.0,64914.0,0,004,20,59,32,1521660,1042779,655674,714534,628196,122,17,17,50.4563667,3.3490115,-0.00831869858582124,0.0001025196167343559,Huge,No,0.0,0.0,0.0,191.2823199972569,"(1500000, 1800000]",High
C,126465.0,101243.0,0,645,11,73,84,4421,3407,2050,4639,2226,5,1,7,45.5544,6.648646,0.2491233961854153,0.002940511196561864,Tiny,Yes,31617.0,25311.0,0.24914068981865592,491.66987394445164,"(0, 300000]",Low
C,35514.0,36218.0,0,000,30,15,84,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,45.2537695,3.1965518,-0.019437848583577225,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,407.0146856654565,"(4200000, 4500000]",High
C,1783.0,567.0,0,030,20,66,76,422786,318448,197384,281534,136457,96,116,34,42.6428224,2.4858388,2.144620811287478,0.0005818546498701471,Large,Yes,0.0,0.0,0.0,692.1606672559346,"(300000, 600000]",High
B,184249.0,109829.0,0,014,20,38,84,722904,509389,327884,386478,314066,122,48,27,45.324154,5.56517,0.6775988126997423,0.00027251197946061994,Large,Yes,46063.0,27458.0,0.6775803044650011,463.59819840638136,"(600000, 900000]",High
C,2326.0,1163.0,0,101,20,24,75,113435,87239,54800,64193,48521,27,9,1,45.2445887,0.6882106,1.0,0.00032617798739366155,Medium,Yes,0.0,0.0,0.0,421.5700825449747,"(0, 300000]",Low
C,30580.0,21388.0,0,114,20,76,28,82343,63318,38112,46882,31628,28,10,2,49.7917558,1.1103434,0.42977370488124184,0.00048577292544600025,Medium,Yes,0.0,0.0,0.0,135.77502096151557,"(0, 300000]",Low
C,12871.0,14370.0,0,015,20,76,28,709065,504460,323682,356637,276548,80,9,5,49.6770346,1.1097122,-0.10431454418928322,0.00013256894642945288,Large,No,0.0,0.0,0.0,126.4904571615773,"(600000, 900000]",High
B,1723793.0,2259694.0,0,001,20,77,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.56563,2.5938,-0.2371564468463429,0.00021980014358757567,Huge,No,0.0,0.0,0.0,38.54416813033162,"(12900000, 13200000]",High
C,1730.0,354.0,0,037,20,30,76,350007,253001,154396,177580,122098,56,14,9,43.7324379,4.3434742,3.8870056497175143,0.00022570977151885533,Large,Yes,0.0,0.0,0.0,591.3582973886632,"(300000, 600000]",High
C,5628.0,6932.0,0,259,20,70,27,27955,21948,13119,16429,10239,5,1,2,47.9138876,6.3372988,-0.1881130986728217,0.0002861742085494545,Small,No,0.0,0.0,0.0,314.012171642113,"(0, 300000]",Low
B,273442.0,321234.0,0,001,20,78,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.8106338,1.7647546,-0.14877628146460212,0.00021980014358757567,Huge,No,0.0,0.0,0.0,42.07601234490964,"(12900000, 13200000]",High
B,2879867.0,3272883.0,0,001,12,77,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.795481,2.650165,-0.12008250829620246,0.00021980014358757567,Huge,No,0.0,0.0,0.0,24.50493501669661,"(12900000, 13200000]",High
C,13750.0,11362.0,0,000,30,22,53,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,48.376656,-2.3546108,0.21017426509417356,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,348.8006402280887,"(4200000, 4500000]",High
C,13022.0,9793.0,0,038,20,59,32,337269,240084,142425,158629,112147,24,3,1,50.3318146,3.4893247,0.32972531399979577,8.301978539385476e-05,Large,Yes,0.0,0.0,0.0,182.9769562899983,"(300000, 600000]",High
C,48557.0,27688.0,0,065,20,28,24,170935,126231,75568,86106,66392,30,2,4,48.2750095,1.6222874,0.7537200231147068,0.00021060637084271798,Medium,Yes,0.0,0.0,0.0,84.0542698163522,"(0, 300000]",Low
C,68394.0,41051.0,0,020,20,54,44,508793,360647,239386,269448,206872,62,9,8,48.75545,6.14411,0.666073908065577,0.00015526943177284277,Large,Yes,0.0,0.0,0.0,279.2954937260656,"(300000, 600000]",High
C,86882.0,59029.0,0,445,11,33,75,11541,8697,4993,5993,5067,4,1,0,45.2038438,-0.7551342,0.4718528181063545,0.0004332380209687202,Tiny,Yes,0.0,0.0,0.0,469.6552971253792,"(0, 300000]",Low
B,883754.0,979933.0,0,001,20,77,11,13171056,9184054,5642167,6342502,6066757,2555,89,251,48.561336,3.012619,-0.09814854689045067,0.00021980014358757567,Huge,No,0.0,0.0,0.0,60.30325911764912,"(12900000, 13200000]",High
C,45468.0,47262.0,0,005,20,31,76,1490640,1036295,684922,760724,668535,169,26,54,43.6450204,1.5240482,-0.03795861368541323,0.0001670423442279826,Huge,No,0.0,0.0,0.0,583.9351959766211,"(1200000, 1500000]",High
C,68061.0,26583.0,0,000,30,56,53,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,47.6756185,-2.2961796,1.560320505586277,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,367.26853884878864,"(4200000, 4500000]",High
B,199166.0,136447.0,0,539,11,36,24,7386,5981,3786,5034,3124,3,1,0,46.592248,1.518305,0.4596583288749478,0.0005415651232060655,Tiny,Yes,49792.0,34112.0,0.4596622889305816,260.14230428838897,"(0, 300000]",Low
B,4103990.0,3586247.0,1,058,11,68,44,199434,152819,89838,104254,84738,133,24,13,48.073201,7.346967,0.14436902979633026,0.0008524123268850847,Medium,No,507235.0,443244.0,0.14436969253954932,379.92971937067637,"(0, 300000]",Low
C,2047.0,4158.0,0,068,20,62,32,159793,118073,69753,84945,56679,35,20,4,50.6828164,1.6268038,-0.5076960076960076,0.0003692276883217663,Medium,No,0.0,0.0,0.0,208.2194766085557,"(0, 300000]",Low
C,22.0,197.0,0,000,30,55,44,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,49.10645,5.06506,-0.8883248730964467,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,201.09834986750553,"(4200000, 4500000]",High
B,2964246.0,2908863.0,1,059,11,59,32,197809,143986,83017,92638,67382,10,6,0,50.371677,3.089986,0.019039397867826706,8.08861073055321e-05,Medium,No,741061.0,727215.0,0.019039761281051684,176.00041876403267,"(0, 300000]",Low
C,11661.0,5019.0,0,103,20,12,76,112911,85557,52826,64672,50132,42,18,7,44.2913982,2.5544751,1.323371189479976,0.0005933877124460859,Medium,Yes,0.0,0.0,0.0,509.02671603996805,"(0, 300000]",Low
B,362209.0,269718.0,0,028,20,21,27,414799,296478,196357,219324,179356,113,16,9,47.192663,5.37737,0.342917417450819,0.0003326912552826791,Large,Yes,90553.0,67430.0,0.34291858223342725,293.0230728906843,"(300000, 600000]",High
B,841557.0,758410.0,0,164,11,80,32,54199,41763,24441,28313,19469,8,9,1,50.10221,1.82449,0.10963331179704909,0.0003321094485138102,Medium,No,184732.0,166480.0,0.10963479096588179,142.21750340047706,"(0, 300000]",Low
C,5910.0,3800.0,0,055,11,44,52,219339,165893,101775,141199,92948,66,36,18,47.300426,-2.1932575,0.5552631578947368,0.0005470983272468645,Large,Yes,0.0,0.0,0.0,378.5888270960878,"(0, 300000]",Low
C,199.0,86.0,0,000,30,66,76,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,42.5063705,2.1600389,1.313953488372093,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,707.3602548500246,"(4200000, 4500000]",High
C,38216.0,37700.0,0,042,12,62,32,321298,232571,135356,146580,99992,18,0,1,50.434139,2.7716316,0.013687002652519894,5.913513311629702e-05,Large,No,0.0,0.0,0.0,177.12731733707946,"(300000, 600000]",High
B,223205.0,240424.0,0,003,20,13,93,1888788,1372344,849590,969271,758303,303,52,76,43.4866,5.230666,-0.07161930589292251,0.00022818865854717417,Huge,No,55801.0,60106.0,-0.07162346521145975,638.3499628999485,"(1800000, 2100000]",High
C,55301.0,47677.0,0,004,20,59,32,1521660,1042779,655674,714534,628196,122,17,17,50.713492,2.6312181,0.15990939027203893,0.0001025196167343559,Huge,Yes,0.0,0.0,0.0,206.46744061515074,"(1500000, 1800000]",High
B,493201.0,317441.0,0,013,20,35,53,771320,522114,341999,377043,347697,96,16,18,48.138878,-1.949141,0.5536776912875149,0.00016854223927812063,Large,Yes,123301.0,79360.0,0.5536920362903226,325.6786277617386,"(600000, 900000]",High
C,56906.0,62487.0,0,029,20,68,44,408968,304955,179702,202903,153319,71,13,8,47.8728596,7.0287447,-0.08931457743210588,0.0002249564758122885,Large,No,0.0,0.0,0.0,363.95272731900224,"(300000, 600000]",High
C,49538.0,54960.0,0,005,20,31,76,1490640,1036295,684922,760724,668535,169,26,54,43.6365051,1.1503303,-0.09865356622998545,0.0001670423442279826,Huge,No,0.0,0.0,0.0,588.6170463207147,"(1200000, 1500000]",High
C,16320.0,16513.0,0,408,11,74,84,13486,10219,6267,20053,7850,59,13,21,45.9819438,6.9264844,-0.011687761157875613,0.00689604033812843,Tiny,No,0.0,0.0,0.0,471.32035243041497,"(0, 300000]",Low
