Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01194;Jassans-Riottier;6355;4745;2664;2853;1348;169;0;0;0;0;0
01195;Jasseron;1861;1346;706;786;428;38;1;32;0;0;0
01196;Jayat;1259;860;477;534;307;40;0;0;0;0;0
01197;Journans;380;293;177;219;35;6;0;0;1;44;0
01198;Joyeux;262;192;102;123;36;8;0;0;0;0;0
01199;Jujurieux;2124;1590;935;1179;480;39;0;0;0;0;0
01200;Labalme;210;165;91;109;31;6;0;0;0;0;0
01202;Lagnieu;7268;5412;3291;3623;2252;174;1;8;0;0;0
01203;Laiz;1299;957;541;571;313;27;0;0;0;0;0
01204;Le Poizat-Lalleyriat;746;532;300;470;77;22;0;0;0;0;0
01206;Lantenay;270;206;116;137;24;4;0;0;0;0;0
01207;Lapeyrouse;326;230;124;141;77;11;0;0;0;0;0
01208;Lavours;136;110;66;96;14;3;1;10;0;0;0
01209;Léaz;817;550;301;365;50;6;0;0;0;0;0
01210;Lélex;230;184;115;724;128;28;1;15;0;0;2
01211;Lent;1408;1037;629;721;219;37;0;0;0;0;0
01212;Lescheroux;714;522;289;356;95;14;0;0;0;0;0
01213;Leyment;1392;956;521;566;337;33;0;0;0;0;0
01214;Leyssard;163;128;75;104;9;5;0;0;0;0;0
01215;Surjoux-Lhopital;141;111;64;111;16;2;0;0;0;0;0
01216;Lhuis;892;710;370;536;226;16;0;0;0;0;0
01219;Lompnas;163;130;76;110;24;5;0;0;0;0;0
01224;Loyettes;3381;2259;1280;1398;836;88;0;0;0;0;0
01225;Lurcy;393;292;159;171;25;5;0;0;0;0;0
01227;Magnieu;655;488;276;352;73;14;0;0;0;0;0
01228;Maillat;679;502;272;320;313;33;1;35;0;0;0
01229;Malafretaz;1214;905;547;610;158;28;1;31;0;0;0
01230;Mantenay-Montlin;308;232;142;168;63;9;0;0;1;30;0
01231;Manziat;1955;1494;828;902;657;64;0;0;0;0;0
01232;Marboz;2268;1722;995;1094;488;72;0;0;0;0;0
01233;Marchamp;132;98;61;100;14;1;0;0;0;0;0
01234;Marignieu;167;137;77;94;43;3;0;0;0;0;0
01235;Marlieux;1182;819;489;542;193;31;0;0;0;0;0
01236;Marsonnas;1030;734;420;486;98;15;0;0;0;0;0
01237;Martignat;1671;1179;652;707;757;52;0;0;0;0;0
01238;Massieux;2721;1928;1062;1105;722;72;2;102;0;0;0
01239;Massignieu-de-Rives;642;469;266;328;55;18;0;0;1;132;0
01240;Matafelon-Granges;629;485;280;400;51;13;1;5;1;130;0
01241;Meillonnas;1383;1056;591;661;259;27;0;0;1;35;0
01242;Mérignat;136;97;61;91;27;3;0;0;0;0;0
01243;Messimy-sur-Saône;1288;914;504;564;124;23;0;0;1;30;0
01244;Meximieux;8085;5741;3392;3739;2568;291;1;10;0;0;0
01245;Bohas-Meyriat-Rignat;965;687;397;489;97;14;0;0;0;0;0
01246;Mézériat;2192;1604;930;1035;308;46;0;0;0;0;0
01247;Mijoux;297;227;140;718;115;25;2;55;0;0;0
01248;Mionnay;2227;1647;887;914;324;58;0;0;0;0;0
