UIC;Gare;Service Wifi
478065;Bonnemain;Non
726414;Bonson;Non
611533;Ax-les-Thermes;Non
616011;Avignonet;Non
683789;Avallon;Non
481770;Batz-sur-Mer;Non
781609;Bédarieux;Non
783563;Barjac;Non
141424;Bertrichamps;Non
673400;Biarritz;Oui
393363;Beynes;Non
694612;Blanzy;Non
574004;Blois;Oui
641266;Bourg-Lastic-Messeix;Non
172353;Carignan;Non
473199;Plounérin;Non
281410;Pont-d'Ardres;Non
491282;Ste-Eulalie-Carbon-Blanc;Non
116178;Ste-Colombe-Septveilles;Non
584508;St-Denis-de-Pile;Non
723700;Sathonay-Rillieux;Non
214205;Scherwiller;Non
746438;Sallanches-Combloux-Megève;Non
191734;Rombas-Clouange;Non
413740;Rolleville;Non
681338;Ris-Orangis;Non
212407;Roeschwoog;Non
193623;Rémelfing;Non
784868;Osséja;Non
753285;Pas-des-Lanciers;Non
618116;Pins-Justaret;Non
286278;Pérenchies;Non
276329;Pont-Ste-Maxence;Non
784702;Serdinya;Non
545517;Sermaise;Non
116616;Isles-Armentières;Non
753418;Istres;Non
635581;La Barasse;Non
175711;Les Islettes;Non
726711;Le Chambon-Feugerolles;Non
755405;Le Luc-et-Le Cannet;Non
394437;Illiers-Combray;Non
476259;Hennebont;Non
396036;La Guierche;Non
691394;La Marche;Non
584755;La Gorp;Non
276212;Liancourt-Rantigny;Non
215160;Lutzelbourg;Non
611236;Luchon;Non
751321;Manosque-Gréoux-les-Bains;Non
723197;Lyon-Part-Dieu;Oui
684415;Malesherbes;Non
213603;Marienthal;Non
281873;Magenta;Oui
271528;Mitry-Claye;Non
444208;Mézidon;Non
723528;Miribel;Non
684126;Nemours-St-Pierre;Non
182055;Mulhouse-Dornach;Non
141507;Neuves-Maisons;Non
756353;Nice-Riquier;Non
611806;L'Isle-Jourdain (Gers);Non
756056;Nice-Ville;Oui
781179;Nissan;Non
381830;Meulan-Hardricourt;Non
611525;Mérens-les-Vals;Non
147322;Meuse-TGV;Oui
182816;Metzeral;Non
784793;Mont-Louis-La Cabanasse;Non
116400;Montry-Condé;Non
574855;Montrichard;Non
411280;Motteville;Non
411439;Morgny;Non
476002;Lorient;Oui
757559;Agay;Non
182253;Dannemarie;Non
694778;Chauffailles;Non
597005;Châteauroux;Oui
543041;Chevilly;Non
775148;Chasseradès;Non
276162;Chaponval;Non
734731;Chamalières-sur-Loire;Non
141572;Ceintrey;Non
473066;Caulnes;Non
747626;Clelles-Mens;Non
571836;Cinq-Mars;Non
192666;Conflans-Jarny;Non
571430;Cormery;Non
444414;Dives-Cabourg;Non
415018;Dieppe;Non
571612;Druye;Non
576173;Faubourg-d'Orléans;Non
757518;Fréjus-St-Raphaël;Non
113514;Gagny;Oui
713842;Gemeaux;Non
476309;Gestel;Non
713503;Gevrey-Chambertin;Non
726174;St-Étienne-Le Clapier;Non
181552;St-Gilles (Haut-Rhin);Non
615138;Verzeille;Non
342113;Vitry-en-Artois;Non
761106;St-Rambert-d'Albon;Non
718320;St-Vit;Non
784744;Thuès-les-Bains;Non
411181;Tourville;Non
272054;Thieux-Nantouillet;Non
296442;Tergnier;Non
696203;Tronsanges;Non
672386;Urt;Non
645101;Ytrac;Non
723759;Villars-les-Dombes;Non
381152;Boissy-l'Aillerie;Non
300822;Belfort-Montbéliard-TGV;Oui
144147;Bains-les-Bains;Non
448514;Avranches;Non
751776;Cassis;Non
131961;Brion-Montréal-la-Cluse;Non
723429;Bourgoin-Jallieu;Non
171322;Breuil-Romain;Non
722728;Brignais;Non
592063;Brignac;Non
581538;Caudéran-Mérignac;Non
313874;Amiens;Oui
721530;Charbonnières-les-Bains;Non
276113;Chantilly-Gouvieux;Non
486308;La Chaize-le-Vicomte;Non
159947;Ker-Lann-Bruz;Non
382366;Le Val-d'Or;Oui
345223;Leforest;Non
734707;Lavoûte-sur-Loire;Non
681395;Le Bras-de-fer;Oui
673095;Le Boucau;Non
116319;Lagny-Thorigny;Non
715144;La Rivière;Non
296632;La Fère;Non
386664;Les Clairières-de-Verneuil;Non
317305;Les Fontinettes;Non
747535;Jarrie-Vizille;Non
396556;Laigné-St-Gervais;Non
474239;Landerneau;Non
181024;Hasenrain;Non
286062;Hellemmes;Non
718130;Liesle;Non
113795;Villiers-sur-Marne-Le Plessis-;Oui
491258;Villeneuve-la-Comtesse;Non
271734;Villers-Cotterêts;Non
751644;St-Louis-les-Aygalades;Non
413310;St-Laurent-Gainneville;Non
271247;St-Ouen;Oui
396077;Vivoin-Beaumont;Non
337980;St-Ouen-l'Aumône-Liesse;Non
743740;St-Rambert-en-Bugey;Non
313684;St-Sulpice-Auteuil;Non
447714;St-Sever (Calvados);Non
721043;St-Victor-Thizy;Non
615674;Tanus;Non
723320;Vénissieux-Voyageurs;Non
682468;Vernou-sur-Seine;Non
732008;Vichy;Oui
415877;Val-de-Reuil;Non
381236;Trie-Château;Non
342287;Thiennes;Non
586651;Tonneins;Non
682252;Thomery;Non
193342;Teting;Non
756882;Tende;Non
317123;Wimille-Wimereux;Non
681635;Coudray-Montceaux;Non
641415;Commentry;Non
381087;Colombes;Oui
175257;Commercy;Non
182014;Colmar;Oui
144071;Châtel-Nomexy;Non
545756;Châteaudun;Non
276345;Deuil-Montmagny;Non
343459;Denain;Non
481721;Donges;Non
393579;Massy-Palaiseau-Grande-Ceintur;Oui
595728;Mauzens-Miremont;Non
276303;Longueil-Ste-Marie;Non
295535;Louvroil;Non
313445;Marcelcave;Non
394130;Maintenon;Non
191627;Malling;Non
581215;Margaux;Non
775353;Nozières-Brignon;Non
765107;Orange;Non
276089;Montigny-Beauchamp;Oui
641472;Mont-Dore;Non
641001;Montluçon-Ville;Non
487637;Montreuil-Bellay;Non
444190;Moult-Argences;Non
276618;Montataire;Non
313346;Montdidier;Non
394296;Nogent-le-Rotrou;Non
756494;Menton-Garavan;Non
413377;Foucart-Alvimare;Non
191742;Gandrange-Amnéville;Non
271122;Épinay-Villetaneuse;Non
481432;Gorges;Non
726786;Pont-de-Lignon;Non
481747;Pornichet;Non
721290;Quincieux;Non
393314;Rambouillet;Oui
276386;Sarcelles-St-Brice;Oui
613877;Salles-Courbatiès;Non
576140;Selles-St-Denis;Non
571844;Savonnières;Non
193714;Sarralbe;Non
476754;Sévérac;Non
746149;Rumilly;Non
712026;Rully;Non
184267;Petit-Croix;Non
473272;Plancoët;Non
594572;St-Denis-près-Martel;Non
756783;Peillon-Ste-Thècle;Non
271031;Paris-Nord-Surface;Oui
481184;Oudon;Non
645176;Pers;Non
696294;St-Pierre-le-Moûtier;Non
746313;St-Pierre-en-Faucigny;Non
478024;St-Médard-sur-Ille;Non
726430;St-Romain-le-Puy;Non
575365;St-Saviol;Non
471052;St-Jacques-de-la-Lande;Non
726208;St-Galmier-Veauche;Non
276170;St-Gratien;Non
673723;St-Jean-Pied-de-Port;Non
182881;Thann-St-Jacques;Non
592493;St-Sébastien;Non
286625;Templeuve;Non
444562;Surdon;Non
576090;Vierzon-Forges;Non
276568;Viarmes;Non
574434;Veretz-Montlouis;Non
343004;Valenciennes;Oui
576215;Valençay;Non
592451;Vaulry;Non
444398;Villers-sur-Mer;Non
473116;Yffiniac;Non
543371;La Chapelle-St-Mesmin;Non
271171;La Barre-Ormesson;Oui
746842;La Joux (Haute-Savoie);Non
641290;La Miouze-Rochefort;Non
753574;La Redonne-Ensuès;Non
193631;Sarreinsming;Non
276188;Sannois;Non
575035;Monts (Indre-et-Loire);Non
144105;Raves-Ban-de-Laveline;Non
144626;Raon-l'Étape;Non
757732;Ranguin;Non
586495;Sauveterre-la-Lémance;Non
342253;Savy-Berlette;Non
584201;St-Antoine-de-Breuilh;Non
723734;St-André-de-Corcy;Non
141374;St-Clément-Laronxe;Non
775239;Ste-Cécile-d'Andorge;Non
756866;St-Dalmas-de-Tende;Non
597054;Ste-Lizaigne;Non
382358;St-Cloud;Oui
747287;Voiron;Non
545301;Ivry-sur-Seine;Oui
476432;Kerhostin;Non
316398;Heilles-Mouchy;Non
141473;Houdemont;Non
694109;Le Creusot-Montceau-Montchanin;Oui
696211;Pougues-les-Eaux;Non
745380;Pougny-Chancy;Non
487314;Pouzauges;Non
576199;Pruniers;Non
116038;Roissy-en-Brie;Non
182337;Rouffach;Non
747402;Grenoble-Université-Gières;Non
756791;Peille;Non
276766;Ribécourt;Non
212431;Seltz;Non
773200;Sète;Oui
611129;Labarthe-Inard;Non
718601;Le Valdahon-Camp-militaire;Non
755447;Les Arcs-Draguignan;Oui
144048;Lépanges;Non
582601;Le Teich;Non
580340;Marseille-Euroméditerranée;Non
756486;Menton;Non
559070;Nevers-Le Banlay;Non
393876;Noisy-le-Roi;Non
214288;Obernai;Non
575704;Mignaloux-Nouaillé;Non
172155;Mohon;Non
481713;Montoir-de-Bretagne;Non
694620;Montceau-les-Mines;Non
684100;Montigny-sur-Loing;Non
611848;Montrabé;Non
683672;Lucy-sur-Cure-Bessy;Non
313817;Longroy-Gamaches;Non
411249;Maromme;Non
755231;Ollioules-Sanary-sur-Mer;Non
394411;Bailleau-le-Pin;Non
681437;Ballancourt;Non
571604;Ballan;Non
271411;Aulnay-sous-Bois;Non
437806;Aytré-Plage;Non
313296;Avrechy;Non
784892;Béna-Fanès;Non
276642;Bessancourt;Non
721266;Albigny-Neuville;Non
481192;Ancenis;Non
276717;Bornel-Belle-Église;Non
342097;Biache-St-Vaast;Non
576306;Bigny;Non
191387;Anzeling;Non
582726;Arbanats;Non
296244;Busigny;Non
592162;Bugeat;Non
673657;Cambo-les-Bains;Non
345413;Cantin;Non
345561;Caudry;Non
597112;Chabenet;Non
411173;Elbeuf-St-Aubin;Non
313551;Cires-lès-Mello;Non
471458;Chevaigné;Non
391565;Clamart;Non
484303;Cholet;Non
611467;Colomiers;Non
696807;Clamecy;Non
116509;Changis-St-Jean;Oui
471524;Châteaubourg;Non
