Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
56007;Auray;394;Auray;11;56;53
56008;Baden;057;Vannes;20;56;53
56009;Bangor;000;Commune hors attraction des villes;30;56;53
56010;Baud;526;Baud;11;56;53
56011;Béganne;188;Redon;20;56;53
56012;Beignon;431;Guer;12;56;53
56013;Belz;605;Belz;11;56;53
56014;Berné;053;Lorient;20;56;53
56015;Berric;057;Vannes;20;56;53
56017;Bignan;000;Commune hors attraction des villes;30;56;53
56018;Billiers;057;Vannes;20;56;53
56019;Billio;000;Commune hors attraction des villes;30;56;53
56020;Bohal;057;Vannes;20;56;53
56021;Brandérion;053;Lorient;20;56;53
56022;Brandivy;057;Vannes;20;56;53
56023;Brech;057;Vannes;20;56;53
56024;Bréhan;229;Loudéac;20;56;53
56025;Brignac;000;Commune hors attraction des villes;30;56;53
56026;Bubry;000;Commune hors attraction des villes;30;56;53
56027;Buléon;000;Commune hors attraction des villes;30;56;53
56028;Caden;000;Commune hors attraction des villes;30;56;53
56029;Calan;053;Lorient;20;56;53
56030;Camoël;000;Commune hors attraction des villes;30;56;53
56031;Camors;000;Commune hors attraction des villes;30;56;53
56032;Campénéac;255;Ploërmel;20;56;53
56033;Carentoir;000;Commune hors attraction des villes;30;56;53
56034;Carnac;578;Carnac;11;56;53
56035;Caro;255;Ploërmel;20;56;53
56036;Caudan;053;Lorient;20;56;53
56039;La Chapelle-Neuve;000;Commune hors attraction des villes;30;56;53
56040;Cléguer;053;Lorient;20;56;53
56041;Cléguérec;207;Pontivy;20;56;53
56042;Colpo;057;Vannes;20;56;53
56043;Concoret;000;Commune hors attraction des villes;30;56;53
56044;Cournon;188;Redon;20;56;53
56045;Le Cours;057;Vannes;20;56;53
56046;Crach;000;Commune hors attraction des villes;30;56;53
56047;Crédin;000;Commune hors attraction des villes;30;56;53
56048;Le Croisty;000;Commune hors attraction des villes;30;56;53
56050;La Croix-Helléan;255;Ploërmel;20;56;53
56051;Cruguel;000;Commune hors attraction des villes;30;56;53
56052;Damgan;000;Commune hors attraction des villes;30;56;53
56053;Elven;057;Vannes;20;56;53
56054;Erdeven;000;Commune hors attraction des villes;30;56;53
56055;Étel;605;Belz;12;56;53
56056;Évriguet;000;Commune hors attraction des villes;30;56;53
56057;Le Faouët;000;Commune hors attraction des villes;30;56;53
56058;Férel;000;Commune hors attraction des villes;30;56;53
56060;Les Fougerêts;000;Commune hors attraction des villes;30;56;53
56061;La Gacilly;000;Commune hors attraction des villes;30;56;53
56062;Gâvres;053;Lorient;20;56;53
56063;Gestel;053;Lorient;20;56;53
56065;Gourhel;255;Ploërmel;20;56;53
56066;Gourin;621;Gourin;11;56;53
56067;Grand-Champ;057;Vannes;20;56;53
56068;La Grée-Saint-Laurent;255;Ploërmel;20;56;53
56069;Groix;000;Commune hors attraction des villes;30;56;53
56070;Guégon;551;Josselin;20;56;53
56071;Guéhenno;000;Commune hors attraction des villes;30;56;53
56072;Gueltas;207;Pontivy;20;56;53
56073;Guémené-sur-Scorff;000;Commune hors attraction des villes;30;56;53
56074;Guénin;526;Baud;20;56;53
56075;Guer;431;Guer;11;56;53
56076;Guern;207;Pontivy;20;56;53
56077;Le Guerno;000;Commune hors attraction des villes;30;56;53
56078;Guidel;053;Lorient;20;56;53
56079;Guillac;255;Ploërmel;20;56;53
56080;Guilliers;255;Ploërmel;20;56;53
56081;Guiscriff;000;Commune hors attraction des villes;30;56;53
56082;Helléan;255;Ploërmel;20;56;53
56083;Hennebont;053;Lorient;20;56;53
56084;Le Hézo;057;Vannes;20;56;53
56085;Hœdic;000;Commune hors attraction des villes;30;56;53
56086;Île-d'Houat;000;Commune hors attraction des villes;30;56;53
56087;Île-aux-Moines;000;Commune hors attraction des villes;30;56;53
56088;Île-d'Arz;000;Commune hors attraction des villes;30;56;53
56089;Inguiniel;053;Lorient;20;56;53
56090;Inzinzac-Lochrist;053;Lorient;20;56;53
56091;Josselin;551;Josselin;11;56;53
56092;Kerfourn;207;Pontivy;20;56;53
56093;Kergrist;207;Pontivy;20;56;53
56094;Kervignac;053;Lorient;20;56;53
56096;Landaul;000;Commune hors attraction des villes;30;56;53
56097;Landévant;053;Lorient;20;56;53
56098;Lanester;053;Lorient;12;56;53
56099;Langoëlan;000;Commune hors attraction des villes;30;56;53
56100;Langonnet;000;Commune hors attraction des villes;30;56;53
56101;Languidic;053;Lorient;20;56;53
56102;Forges de Lanouée;551;Josselin;20;56;53
56103;Lantillac;551;Josselin;20;56;53
56104;Lanvaudan;053;Lorient;20;56;53
56105;Lanvénégen;000;Commune hors attraction des villes;30;56;53
56106;Larmor-Baden;057;Vannes;20;56;53
56107;Larmor-Plage;053;Lorient;20;56;53
