Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;NIMES - MANDUEL;87688762;2;Tarif Normal;20;119
TGV INOUI;AVIGNON TGV;87318964;BORDEAUX ST JEAN;87581009;2;Tarif Normal;20;99
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;VIERZON VILLE;87576009;2;Tarif Normal;20;64
TGV INOUI;DIJON VILLE;87713040;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;34;70
TGV INOUI;LILLE FLANDRES;87286005;CALAIS VILLE;87317263;1;Tarif Normal;30;37
TGV INOUI;MACON VILLE;87725689;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;15;44
TGV INOUI;AVIGNON TGV;87318964;NICE VILLE;87756056;1;Tarif Réglementé;68;68
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NIMES - MANDUEL;87688762;1;Tarif Normal;31;184
TGV INOUI;LE CROISIC;87481788;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25;98
TGV INOUI;AIX EN PROVENCE TGV;87319012;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;26;184
TGV INOUI;CHAMBERY CHALLES LES EAUX;87741009;BESANCON - F COMTE TGV;87300863;2;Tarif Normal;30;65
TGV INOUI;ROUBAIX;87286732;CROIX WASQUEHAL;87286716;1;Tarif Normal;6;10
TGV INOUI;AIX EN PROVENCE TGV;87319012;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;36;203
TGV INOUI;TGV HAUTE PICARDIE;87313882;TOULOUSE MATABIAU;87611004;1;Tarif Normal;36;202
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;17;59
TGV INOUI;NIMES;87775007;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;120;120
TGV INOUI;AVIGNON TGV;87318964;ROUEN RIVE DROITE;87411017;2;Tarif Réglementé;109;177
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;BEAUNE;87713545;1;Tarif Réglementé;54;54
TGV INOUI;MONTBARD;87713131;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Normal;36;37
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;ST RAPHAEL VALESCURE;87757526;1;Tarif Réglementé;153;153
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;TOULON;87755009;2;Tarif Normal;25;149
TGV INOUI;AVIGNON TGV;87318964;SENS;87683003;1;Tarif Normal;31;149
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;BEAUNE;87713545;2;Tarif Normal;15;55
TGV INOUI;TGV HAUTE PICARDIE;87313882;ST JEAN DE LUZ CIBOURE;87677120;1;Tarif Normal;36;181
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TGV HAUTE PICARDIE;87313882;1;Tarif Réglementé;50;50
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;LES ARCS DRAGUIGNAN;87755447;2;Tarif Réglementé;106;168
TGV INOUI;AVIGNON TGV;87318964;VALENCE VILLE;87761007;1;Tarif Normal;14;45
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NIMES PONT DU GARD;87703975;1;Tarif Réglementé;120;120
TGV INOUI;LILLE FLANDRES;87286005;LE MANS;87396002;2;Tarif Normal;25;101
TGV INOUI;LYON PART DIEU;87723197;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Réglementé;53;85
TGV INOUI;MARSEILLE ST CHARLES;87751008;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;26;168
TGV INOUI;AVIGNON TGV;87318964;LAROCHE MIGENNES;87683268;2;Tarif Normal;25;92
TGV INOUI;ST BRIEUC;87473009;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25;120
TGV INOUI;LYON PART DIEU;87723197;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;19;99
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;15;48
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;ANTIBES;87757674;1;Tarif Normal;31;210
TGV INOUI;AVIGNON TGV;87318964;ST PIERRE DES CORPS;87571240;2;Tarif Normal;25;131
TGV INOUI;LILLE FLANDRES;87286005;AGEN;87586008;1;Tarif Normal;36;190
TGV INOUI;RIVES;87747246;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;49;156
TGV INOUI;MACON VILLE;87725689;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;60;60
TGV INOUI;LILLE FLANDRES;87286005;ARRAS;87342014;2;Tarif Normal;13;13
TGV INOUI;AVIGNON TGV;87318964;ECOLE VALENTIN;87710731;1;Tarif Normal;41;128
TGV INOUI;LILLE FLANDRES;87286005;LIMOGES BENEDICTINS;87592006;2;Tarif Normal;30;123
TGV INOUI;TGV HAUTE PICARDIE;87313882;ST GERVAIS LES BAINS LE FAYET;87746479;2;Tarif Réglementé;96;156
TGV INOUI;NICE VILLE;87756056;BESANCON - F COMTE TGV;87300863;2;Tarif Réglementé;98;161
TGV INOUI;LANDRY;87741777;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;31;121
TGV INOUI;AVIGNON TGV;87318964;BEAUNE;87713545;1;Tarif Réglementé;79;79
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;CHALON SUR SAONE;87725002;2;Tarif Réglementé;40;66
TGV INOUI;MARSEILLE ST CHARLES;87751008;TGV HAUTE PICARDIE;87313882;2;Tarif Réglementé;112;174
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;ROUEN RIVE DROITE;87411017;1;Tarif Normal;17;56
TGV INOUI;CANNES;87757625;BESANCON - F COMTE TGV;87300863;1;Tarif Réglementé;133;133
TGV INOUI;DAX;87673202;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;36;181
TGV INOUI;ST NAZAIRE;87481705;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;25;98
TGV INOUI;TGV HAUTE PICARDIE;87313882;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;30;139
TGV INOUI;LILLE FLANDRES;87286005;DOUAI;87345009;2;Tarif Normal;9;9
TGV INOUI;MARSEILLE ST CHARLES;87751008;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Normal;26;184
TGV INOUI;ANGERS ST LAUD;87484006;AIX EN PROVENCE TGV;87319012;2;Tarif Réglementé;109;173
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;ST RAPHAEL VALESCURE;87757526;1;Tarif Normal;31;210
TGV INOUI;LANDRY;87741777;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;31;180
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;LISIEUX;87444265;2;Tarif Normal;15;51
TGV INOUI;MONTPELLIER SUD DE FRANCE;87688887;BESANCON - F COMTE TGV;87300863;1;Tarif Réglementé;119;119
TGV INOUI;AVIGNON TGV;87318964;LYON PERRACHE;87722025;2;Tarif Réglementé;40;68
TGV INOUI;NIMES;87775007;BESANCON - F COMTE TGV;87300863;2;Tarif Réglementé;83;134
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;TGV HAUTE PICARDIE;87313882;1;Tarif Réglementé;145;145
TGV INOUI;LILLE FLANDRES;87286005;LE MANS;87396002;1;Tarif Normal;29;134
TGV INOUI;DIJON VILLE;87713040;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;23;40
TGV INOUI;NICE VILLE;87756056;BELFORT-MONTBELIARD TGV;87300822;1;Tarif Réglementé;153;153
TGV INOUI;BELFORT-MONTBELIARD TGV;87300822;ANTIBES;87757674;2;Tarif Réglementé;115;159
TGV INOUI;MONTPELLIER SAINT-ROCH;87773002;TGV HAUTE PICARDIE;87313882;2;Tarif Réglementé;112;174
TGV INOUI;MARSEILLE ST CHARLES;87751008;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Normal;20;139
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;AURAY;87476200;2;Tarif Normal;20;106
TGV INOUI;ST AVRE LA CHAMBRE;87741306;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;31;180
